Episode: 1, total numsteps: 1000, episode steps: 1000, reward: [-729.7032372  -642.98886595 -668.97874154 -546.45240331 -625.19147799]
Episode: 2, total numsteps: 2000, episode steps: 1000, reward: [-731.65577    -648.46604717 -660.92160634 -572.09338703 -620.96813705]
Episode: 3, total numsteps: 3000, episode steps: 1000, reward: [-721.71445813 -680.13822352 -637.38643334 -570.02733445 -645.44659951]
Episode: 4, total numsteps: 4000, episode steps: 1000, reward: [-719.30765856 -635.30352751 -661.04007313 -554.18511257 -613.10542832]
Episode: 5, total numsteps: 5000, episode steps: 1000, reward: [-722.75221492 -642.90958847 -633.42828843 -583.38038953 -625.51292795]
Episode: 6, total numsteps: 6000, episode steps: 1000, reward: [-731.56347864 -657.05297081 -643.02479908 -537.71018334 -638.27423496]
Episode: 7, total numsteps: 7000, episode steps: 1000, reward: [-731.76156736 -665.88565596 -646.59759331 -569.22497502 -650.70541205]
Episode: 8, total numsteps: 8000, episode steps: 1000, reward: [-727.05873445 -641.61069478 -650.31782242 -582.02467262 -627.21380388]
Episode: 9, total numsteps: 9000, episode steps: 1000, reward: [-710.94819118 -646.09258736 -653.86284205 -551.62714213 -623.20384536]
Episode: 10, total numsteps: 10000, episode steps: 1000, reward: [-699.45190209 -638.04696793 -653.24691511 -569.72133875 -630.37267466]
Episode: 11, total numsteps: 11000, episode steps: 1000, reward: [-475.36579098 -417.81540043 -379.14446386 -374.74342035 -340.70478145]
Episode: 12, total numsteps: 12000, episode steps: 1000, reward: [-475.36579098 -417.25997053 -379.14446386 -374.81848293 -340.70478145]
Episode: 13, total numsteps: 13000, episode steps: 1000, reward: [-475.36579098 -417.31044287 -379.14446386 -374.84730867 -340.70478145]
Episode: 14, total numsteps: 14000, episode steps: 1000, reward: [-475.36579098 -417.46320911 -379.14446386 -374.3558792  -340.70478145]
Episode: 15, total numsteps: 15000, episode steps: 1000, reward: [-475.36579098 -418.21568194 -379.14446386 -374.65506466 -340.70478145]
Episode: 16, total numsteps: 16000, episode steps: 1000, reward: [-475.36579098 -417.928475   -379.14446386 -374.22488743 -340.70478145]
Episode: 17, total numsteps: 17000, episode steps: 1000, reward: [-475.36579098 -417.73243995 -379.14446386 -373.99951478 -340.70478145]
Episode: 18, total numsteps: 18000, episode steps: 1000, reward: [-475.36579098 -417.76470145 -379.14446386 -374.20941665 -340.70478145]
Episode: 19, total numsteps: 19000, episode steps: 1000, reward: [-475.36579098 -417.93073215 -379.14446386 -374.09133027 -340.70478145]
