Episode: 1, total numsteps: 1000, episode steps: 1000, reward: [-742.95094526 -651.02644782 -642.53715169 -559.22971299 -638.93194725]
Episode: 2, total numsteps: 2000, episode steps: 1000, reward: [-718.80400944 -656.61033511 -649.19682411 -562.5027415  -645.71361723]
Episode: 3, total numsteps: 3000, episode steps: 1000, reward: [-707.08074642 -622.82484838 -635.61086024 -569.65619827 -637.09768364]
Episode: 4, total numsteps: 4000, episode steps: 1000, reward: [-715.03064129 -637.0005867  -654.06684933 -580.18234827 -614.58100453]
Episode: 5, total numsteps: 5000, episode steps: 1000, reward: [-707.70505179 -631.37260405 -641.93179303 -590.2929412  -655.41290822]
Episode: 6, total numsteps: 6000, episode steps: 1000, reward: [-719.39477851 -625.13050197 -642.63815809 -571.02630551 -603.9763012 ]
Episode: 7, total numsteps: 7000, episode steps: 1000, reward: [-722.4181594  -661.31481926 -642.68056669 -570.39977334 -640.676523  ]
Episode: 8, total numsteps: 8000, episode steps: 1000, reward: [-731.71550694 -642.75875275 -635.53205319 -571.88967214 -648.36484178]
Episode: 9, total numsteps: 9000, episode steps: 1000, reward: [-756.78878856 -635.79193531 -658.77060963 -581.69709999 -652.27501216]
Episode: 10, total numsteps: 10000, episode steps: 1000, reward: [-743.2652829  -658.70779202 -659.78836929 -551.90416604 -640.04826461]
Episode: 11, total numsteps: 11000, episode steps: 1000, reward: [-667.10886617 -425.33745661 -465.94440259 -310.0061299  -396.65010598]
Episode: 12, total numsteps: 12000, episode steps: 1000, reward: [-659.844153   -426.56162825 -460.64601671 -310.0061299  -396.13079246]
Episode: 13, total numsteps: 13000, episode steps: 1000, reward: [-663.49218388 -425.39516332 -470.47884812 -310.00612989 -396.24743463]
Episode: 14, total numsteps: 14000, episode steps: 1000, reward: [-665.65046262 -427.52454455 -465.66679292 -310.00612989 -397.97639139]
Episode: 15, total numsteps: 15000, episode steps: 1000, reward: [-666.90865656 -427.83839219 -470.65170293 -310.00612989 -392.96036292]
Episode: 16, total numsteps: 16000, episode steps: 1000, reward: [-671.76631318 -425.91873018 -466.93326437 -310.0061299  -396.08856354]
Episode: 17, total numsteps: 17000, episode steps: 1000, reward: [-694.50342596 -425.89480185 -475.52201085 -310.0061299  -394.17777832]
Episode: 18, total numsteps: 18000, episode steps: 1000, reward: [-666.74743432 -427.07987175 -460.65150349 -310.00612989 -394.22298496]
Episode: 19, total numsteps: 19000, episode steps: 1000, reward: [-664.78407557 -424.23888807 -462.93764777 -310.0061299  -391.380874  ]
Episode: 20, total numsteps: 20000, episode steps: 1000, reward: [-666.98263156 -425.46786198 -462.20247945 -310.00612988 -399.52201625]
Episode: 21, total numsteps: 21000, episode steps: 1000, reward: [-648.69513174 -425.28055863 -459.36028542 -310.00612989 -396.50792298]
Episode: 22, total numsteps: 22000, episode steps: 1000, reward: [-666.15508601 -425.93268754 -463.11124767 -310.0061299  -396.88224789]
Episode: 23, total numsteps: 23000, episode steps: 1000, reward: [-663.20681102 -425.14668962 -453.66079037 -310.00612989 -399.39411314]
Episode: 24, total numsteps: 24000, episode steps: 1000, reward: [-670.89606358 -425.47405786 -463.23838703 -310.00612989 -392.48418031]
Episode: 25, total numsteps: 25000, episode steps: 1000, reward: [-681.38786159 -425.45012952 -470.0902965  -310.00612989 -394.91854736]
Episode: 26, total numsteps: 26000, episode steps: 1000, reward: [-670.23998503 -424.6569545  -462.5590635  -310.00612989 -396.17508226]
Episode: 27, total numsteps: 27000, episode steps: 1000, reward: [-679.12370275 -425.92858023 -472.86218622 -310.00612989 -396.66628466]
Episode: 28, total numsteps: 28000, episode steps: 1000, reward: [-665.56920016 -427.63761159 -465.41679247 -310.00612989 -395.87760462]
Episode: 29, total numsteps: 29000, episode steps: 1000, reward: [-670.52788915 -425.84644261 -471.66058028 -310.00612989 -393.16768622]
Episode: 30, total numsteps: 30000, episode steps: 1000, reward: [-667.66060483 -427.06253096 -463.97241974 -310.00612986 -399.32813267]
Episode: 31, total numsteps: 31000, episode steps: 1000, reward: [-667.23727679 -423.67046488 -466.55839017 -310.0061299  -401.28074918]
Episode: 32, total numsteps: 32000, episode steps: 1000, reward: [-677.88509725 -426.00128105 -462.2711211  -310.00612989 -394.49714077]
Episode: 33, total numsteps: 33000, episode steps: 1000, reward: [-663.27872646 -425.46745085 -474.02049762 -310.00612989 -394.04731091]
Episode: 34, total numsteps: 34000, episode steps: 1000, reward: [-669.76266708 -426.53282867 -464.73026467 -310.00612993 -393.75080801]
Episode: 35, total numsteps: 35000, episode steps: 1000, reward: [-669.19198183 -426.02520938 -464.47658556 -310.00612989 -397.02742448]
Episode: 36, total numsteps: 36000, episode steps: 1000, reward: [-670.6365174  -426.00128105 -460.47587915 -310.0061299  -395.03507445]
