
Episode: 1, total numsteps: 500, episode steps: 500, reward: [-348.64962966 -259.06623535 -238.94510571 -198.18740479 -250.44358275]
Episode: 2, total numsteps: 1000, episode steps: 500, reward: [-350.10580152 -233.63423    -230.00326733 -197.06452093 -218.96415265]
Episode: 3, total numsteps: 1500, episode steps: 500, reward: [-343.60827092 -307.93062022 -300.88417213 -247.02126942 -332.73558662]
Episode: 4, total numsteps: 2000, episode steps: 500, reward: [-464.37202816 -395.6096897  -403.43424051 -364.27361014 -391.51509928]
Episode: 5, total numsteps: 2500, episode steps: 500, reward: [-483.32280744 -413.20041876 -399.12382932 -380.84400195 -413.19777522]
Episode: 6, total numsteps: 3000, episode steps: 500, reward: [-473.48483514 -407.59335072 -393.89734658 -394.83931534 -393.74004181]
Episode: 7, total numsteps: 3500, episode steps: 500, reward: [-461.5893469  -378.61271266 -406.66246428 -385.75924835 -417.98928969]
Episode: 8, total numsteps: 4000, episode steps: 500, reward: [-455.74709553 -331.0037786  -404.01060815 -378.6646723  -414.21017858]
Episode: 9, total numsteps: 4500, episode steps: 500, reward: [-450.44537051 -328.07103004 -346.99484948 -380.54965358 -387.89688181]
Episode: 10, total numsteps: 5000, episode steps: 500, reward: [-469.83482168 -339.36608019 -330.96020518 -406.67355409 -376.97860143]
Episode: 11, total numsteps: 5500, episode steps: 500, reward: [-470.85124673 -349.05098963 -334.08249099 -400.34893946 -326.43161035]
Episode: 12, total numsteps: 6000, episode steps: 500, reward: [-447.6189104  -346.96112386 -325.63025978 -400.38094413 -336.96833146]
Episode: 13, total numsteps: 6500, episode steps: 500, reward: [-392.81213558 -340.18088592 -330.51597587 -393.81365694 -342.08757519]
Episode: 14, total numsteps: 7000, episode steps: 500, reward: [-383.66091266 -348.02924779 -312.43434786 -388.08655036 -328.5034382 ]
Episode: 15, total numsteps: 7500, episode steps: 500, reward: [-402.82993719 -344.43520745 -305.77781523 -388.17462861 -327.71350956]
Episode: 16, total numsteps: 8000, episode steps: 500, reward: [-392.0400958  -333.35339822 -329.65706326 -375.91136026 -346.68653481]
Episode: 17, total numsteps: 8500, episode steps: 500, reward: [-395.00377267 -341.39186997 -332.42986613 -317.69257564 -331.05499851]
Episode: 18, total numsteps: 9000, episode steps: 500, reward: [-398.69391993 -346.70911813 -321.67583025 -319.69661756 -352.62975863]
Episode: 19, total numsteps: 9500, episode steps: 500, reward: [-388.9930345  -364.77054811 -324.85004684 -312.10414341 -327.39542354]
Episode: 20, total numsteps: 10000, episode steps: 500, reward: [-394.86482925 -350.75293603 -334.79834887 -290.89624379 -337.75283111]
Episode: 21, total numsteps: 10500, episode steps: 500, reward: [-388.38778431 -349.38750096 -328.61415926 -306.31155449 -325.81972825]
Episode: 22, total numsteps: 11000, episode steps: 500, reward: [-382.92627013 -335.96932001 -316.06482948 -305.01415744 -354.52593923]
Episode: 23, total numsteps: 11500, episode steps: 500, reward: [-402.28920733 -345.44826644 -317.39625021 -315.44873318 -339.64292884]
Episode: 24, total numsteps: 12000, episode steps: 500, reward: [-403.71245621 -337.88493652 -321.49688743 -304.76025823 -345.7936423 ]
Episode: 25, total numsteps: 12500, episode steps: 500, reward: [-382.32845887 -328.20575852 -322.71801583 -303.59900328 -349.06579923]
Episode: 26, total numsteps: 13000, episode steps: 500, reward: [-382.55770965 -327.0771938  -322.15465152 -306.35698655 -353.4588611 ]
Episode: 27, total numsteps: 13500, episode steps: 500, reward: [-401.7887273  -327.66028429 -325.96295813 -318.81624142 -339.04665673]
Episode: 28, total numsteps: 14000, episode steps: 500, reward: [-390.50441347 -334.03713142 -322.37554382 -308.64565096 -323.75869497]
Episode: 29, total numsteps: 14500, episode steps: 500, reward: [-413.85491717 -331.70240588 -326.91520173 -295.70209893 -316.90553151]
Episode: 30, total numsteps: 15000, episode steps: 500, reward: [-410.84785673 -327.1647708  -297.13911981 -301.29356762 -336.36457815]
Episode: 31, total numsteps: 15500, episode steps: 500, reward: [-391.82602977 -341.60588541 -320.60450368 -301.66900539 -332.6565838 ]
Episode: 32, total numsteps: 16000, episode steps: 500, reward: [-386.05789239 -352.15298252 -320.30773452 -310.67322463 -336.78355125]
Episode: 33, total numsteps: 16500, episode steps: 500, reward: [-380.74778862 -325.3051537  -314.60461346 -295.13895614 -340.05125072]
Episode: 34, total numsteps: 17000, episode steps: 500, reward: [-381.00840339 -346.45347543 -323.29922426 -300.11150075 -353.59346904]
Episode: 35, total numsteps: 17500, episode steps: 500, reward: [-389.23038693 -310.75549263 -314.37842135 -287.71778713 -335.95691136]
Episode: 36, total numsteps: 18000, episode steps: 500, reward: [-392.54705524 -330.19440218 -327.06435551 -287.2671584  -326.25014434]
Episode: 37, total numsteps: 18500, episode steps: 500, reward: [-394.43866594 -328.3698797  -320.10018647 -302.36479982 -326.85376289]
Episode: 38, total numsteps: 19000, episode steps: 500, reward: [-377.49208466 -340.47400474 -328.57982811 -299.9518676  -325.43802991]
Episode: 39, total numsteps: 19500, episode steps: 500, reward: [-367.73185805 -336.99933364 -326.47851688 -303.61307469 -327.10858176]
Episode: 40, total numsteps: 20000, episode steps: 500, reward: [-388.77660516 -328.52145861 -321.17614311 -295.13193437 -322.97097359]
Episode: 41, total numsteps: 20500, episode steps: 500, reward: [-378.15757752 -326.84733737 -328.55164088 -300.89391879 -321.15661073]
Episode: 42, total numsteps: 21000, episode steps: 500, reward: [-364.09138638 -334.09801579 -319.17809268 -291.62999063 -305.58480429]
Episode: 43, total numsteps: 21500, episode steps: 500, reward: [-381.37120891 -320.03662423 -321.02477318 -287.31659957 -328.1536563 ]
Episode: 44, total numsteps: 22000, episode steps: 500, reward: [-404.26632319 -330.80369908 -317.56341774 -289.79193673 -327.40447284]
Episode: 45, total numsteps: 22500, episode steps: 500, reward: [-384.85892306 -317.31564816 -324.2128031  -281.85749732 -338.36887318]
Episode: 46, total numsteps: 23000, episode steps: 500, reward: [-398.63395774 -336.7134644  -305.12032177 -286.82397068 -341.88090701]
Episode: 47, total numsteps: 23500, episode steps: 500, reward: [-393.48051514 -349.78095615 -327.44108127 -303.49899673 -324.78389538]
Episode: 48, total numsteps: 24000, episode steps: 500, reward: [-376.92274624 -318.93109972 -299.59730889 -305.05442068 -303.10314077]
Episode: 49, total numsteps: 24500, episode steps: 500, reward: [-395.18691347 -331.86374293 -326.71432874 -294.97099704 -324.38058502]
Episode: 50, total numsteps: 25000, episode steps: 500, reward: [-395.44918202 -338.34667867 -305.49650431 -290.85061617 -323.84401214]
Episode: 51, total numsteps: 25500, episode steps: 500, reward: [-401.66980036 -350.64135719 -317.07075634 -282.10550164 -325.52408108]
