
Episode: 1, total numsteps: 500, episode steps: 500, reward: [187.62294559 197.88001028 198.8456094  206.95087473 201.93652727]
Episode: 2, total numsteps: 1000, episode steps: 500, reward: [189.25711711 194.29418749 197.60775645 207.72097549 203.06688587]
Episode: 3, total numsteps: 1500, episode steps: 500, reward: [185.94850989 188.39092169 191.03068828 201.18227026 194.99910682]
Episode: 4, total numsteps: 2000, episode steps: 500, reward: [174.82032139 179.15169996 176.44110381 181.73815784 180.2926083 ]
Episode: 5, total numsteps: 2500, episode steps: 500, reward: [167.10980598 175.98045476 176.66629898 183.39695519 178.77912116]
Episode: 6, total numsteps: 3000, episode steps: 500, reward: [175.12247381 185.84876344 176.86123614 175.88971988 177.71469216]
Episode: 7, total numsteps: 3500, episode steps: 500, reward: [177.57113797 181.77373168 176.57286974 181.26062549 176.94799988]
Episode: 8, total numsteps: 4000, episode steps: 500, reward: [178.97827689 184.72774507 176.58544059 181.45869971 178.16984292]
Episode: 9, total numsteps: 4500, episode steps: 500, reward: [178.34832379 186.03543593 174.80388805 181.9408647  176.07615   ]
Episode: 10, total numsteps: 5000, episode steps: 500, reward: [176.56561785 186.37742008 179.15379911 175.90559538 177.80542608]
Episode: 11, total numsteps: 5500, episode steps: 500, reward: [177.52241819 181.1657841  177.4964961  176.43767913 182.33872434]
Episode: 12, total numsteps: 6000, episode steps: 500, reward: [178.69240722 183.63802482 177.13287229 178.73005157 175.49683833]
Episode: 13, total numsteps: 6500, episode steps: 500, reward: [177.84761658 185.88296772 176.25852022 180.50924563 176.98368252]
Episode: 14, total numsteps: 7000, episode steps: 500, reward: [177.00021763 182.66511884 176.60144858 180.8402781  172.65166554]
Episode: 15, total numsteps: 7500, episode steps: 500, reward: [175.30937661 183.922194   176.27033078 176.87229494 179.75334614]
Episode: 16, total numsteps: 8000, episode steps: 500, reward: [177.89822013 186.87089167 180.83017375 180.35457433 176.91410027]
Episode: 17, total numsteps: 8500, episode steps: 500, reward: [175.14956373 185.62148625 186.79803236 179.08343112 179.21223391]
Episode: 18, total numsteps: 9000, episode steps: 500, reward: [176.97295908 183.63043923 188.57040777 177.1979233  179.16398516]
Episode: 19, total numsteps: 9500, episode steps: 500, reward: [178.47126802 181.99734453 184.61163825 181.48082495 178.9622264 ]
Episode: 20, total numsteps: 10000, episode steps: 500, reward: [180.266784   181.16839621 185.18171206 182.31374354 180.02394429]
Episode: 21, total numsteps: 10500, episode steps: 500, reward: [178.45231436 183.20156623 187.69761301 180.18672796 177.41602039]
Episode: 22, total numsteps: 11000, episode steps: 500, reward: [175.97796893 182.58551857 188.2147795  179.24461108 176.68605761]
Episode: 23, total numsteps: 11500, episode steps: 500, reward: [174.22932005 183.42242332 185.74017373 178.5981702  177.7762602 ]
Episode: 24, total numsteps: 12000, episode steps: 500, reward: [178.26023044 184.74076744 183.50905405 177.88212773 184.61656208]
Episode: 25, total numsteps: 12500, episode steps: 500, reward: [177.676425   185.39742771 184.18866475 180.93115996 184.87883428]
Episode: 26, total numsteps: 13000, episode steps: 500, reward: [180.00630387 181.87132203 183.68903411 175.95850269 184.85024066]
