
Episode: 1, total numsteps: 500, episode steps: 500, reward: [-288.41263198 -235.84620583 -216.47803182 -188.4303222  -207.52373249]
Episode: 2, total numsteps: 1000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 3, total numsteps: 1500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 4, total numsteps: 2000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 5, total numsteps: 2500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 6, total numsteps: 3000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 7, total numsteps: 3500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 8, total numsteps: 4000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 9, total numsteps: 4500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 10, total numsteps: 5000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 11, total numsteps: 5500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 12, total numsteps: 6000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 13, total numsteps: 6500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 14, total numsteps: 7000, episode steps: 500, reward: [-272.07259322 -201.52517474 -192.20391091 -143.19745975 -191.35927315]
Episode: 15, total numsteps: 7500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 16, total numsteps: 8000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35650495]
Episode: 17, total numsteps: 8500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 18, total numsteps: 9000, episode steps: 500, reward: [-272.07259322 -201.52537518 -192.20391091 -143.19745975 -191.35927315]
Episode: 19, total numsteps: 9500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 20, total numsteps: 10000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 21, total numsteps: 10500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 22, total numsteps: 11000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 23, total numsteps: 11500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 24, total numsteps: 12000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 25, total numsteps: 12500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 26, total numsteps: 13000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 27, total numsteps: 13500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 28, total numsteps: 14000, episode steps: 500, reward: [-272.07259322 -201.52606235 -192.20391091 -143.19745975 -191.35927315]
Episode: 29, total numsteps: 14500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 30, total numsteps: 15000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 31, total numsteps: 15500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 32, total numsteps: 16000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 33, total numsteps: 16500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 34, total numsteps: 17000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 35, total numsteps: 17500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 36, total numsteps: 18000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 37, total numsteps: 18500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 38, total numsteps: 19000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 39, total numsteps: 19500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 40, total numsteps: 20000, episode steps: 500, reward: [-272.07259322 -201.52313557 -192.20391091 -143.19745975 -191.35927315]
Episode: 41, total numsteps: 20500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 42, total numsteps: 21000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 43, total numsteps: 21500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 44, total numsteps: 22000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 45, total numsteps: 22500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 46, total numsteps: 23000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 47, total numsteps: 23500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 48, total numsteps: 24000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 49, total numsteps: 24500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 50, total numsteps: 25000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 51, total numsteps: 25500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 52, total numsteps: 26000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 53, total numsteps: 26500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 54, total numsteps: 27000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 55, total numsteps: 27500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 56, total numsteps: 28000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 57, total numsteps: 28500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 58, total numsteps: 29000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 59, total numsteps: 29500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 60, total numsteps: 30000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 61, total numsteps: 30500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 62, total numsteps: 31000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 63, total numsteps: 31500, episode steps: 500, reward: [-272.07259322 -201.52432628 -192.20391091 -143.19745975 -191.35927315]
Episode: 64, total numsteps: 32000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 65, total numsteps: 32500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 66, total numsteps: 33000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 67, total numsteps: 33500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 68, total numsteps: 34000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 69, total numsteps: 34500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 70, total numsteps: 35000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 71, total numsteps: 35500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 72, total numsteps: 36000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 73, total numsteps: 36500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 74, total numsteps: 37000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 75, total numsteps: 37500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35904332]
Episode: 76, total numsteps: 38000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 77, total numsteps: 38500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 78, total numsteps: 39000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 79, total numsteps: 39500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 80, total numsteps: 40000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 81, total numsteps: 40500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 82, total numsteps: 41000, episode steps: 500, reward: [-272.07259322 -201.51495591 -192.20391091 -143.19745975 -191.35927315]
Episode: 83, total numsteps: 41500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 84, total numsteps: 42000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 85, total numsteps: 42500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 86, total numsteps: 43000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 87, total numsteps: 43500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 88, total numsteps: 44000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 89, total numsteps: 44500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 90, total numsteps: 45000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 91, total numsteps: 45500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 92, total numsteps: 46000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 93, total numsteps: 46500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 94, total numsteps: 47000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 95, total numsteps: 47500, episode steps: 500, reward: [-272.07259322 -201.52560929 -192.20391091 -143.19745975 -191.35927315]
Episode: 96, total numsteps: 48000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 97, total numsteps: 48500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 98, total numsteps: 49000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 99, total numsteps: 49500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 100, total numsteps: 50000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 101, total numsteps: 50500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 102, total numsteps: 51000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 103, total numsteps: 51500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 104, total numsteps: 52000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 105, total numsteps: 52500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 106, total numsteps: 53000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 107, total numsteps: 53500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 108, total numsteps: 54000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
